epoch,train_loss,val_loss,lr
1,26.933563737074532,5.6240250799391,0.001
2,1.8526391724745432,1.473688069317076,0.001
3,0.9726612369219462,0.8424339161978828,0.001
4,0.772035705546538,0.8274665408664279,0.001
5,0.6943288867672285,0.860909468597836,0.001
6,0.5957061320543289,0.7432709866099887,0.001
7,0.5500969986120859,1.5288756291071575,0.001
8,0.45820438787341117,0.8223236451546351,0.001
9,0.4197309436897437,0.6370581388473511,0.001
10,0.42035007824500403,0.681551155116823,0.001
11,0.38176003148158394,0.5047736714283625,0.001
12,0.30951009367903076,0.6122027784585953,0.001
13,0.3684247552106778,0.5039566788408492,0.001
